2025-06-19 13:32:34,725 | master_pipeline | INFO | scrape_source:1234 | 🔍 Scraping IndianStartupNews (max: 15 articles)
2025-06-19 13:32:34,725 | master_pipeline | INFO | process_all_sources:1630 | ✅ inc42: 2 articles collected
2025-06-19 13:32:34,964 | master_pipeline | INFO | scrape_source:1256 | IndianStartupNews: Found 9 potential articles
2025-06-19 13:32:34,965 | master_pipeline | INFO | scrape_source:1290 | ✅ IndianStartupNews: Completed in 0.2s - 0 articles
2025-06-19 13:32:34,965 | master_pipeline | INFO | process_all_sources:1630 | ✅ indianstartup: 0 articles collected
2025-06-19 13:32:37,061 | master_pipeline | INFO | scrape_source:1276 | ✅ StartupNews.fyi: Processed 'Apple’s Wallet app has key new feature for saved credit card...'
2025-06-19 13:32:37,588 | master_pipeline | INFO | scrape_source:1276 | ✅ Moneycontrol: Processed 'Lack of revenue model on UPI might push more fintechs toward...'
2025-06-19 13:32:39,412 | master_pipeline | INFO | _process_single_article:1428 | Duplicate detected: {'reason': 'title_hash_match', 'title': 'Conversational Payments Via AI Being Developed To '}
2025-06-19 13:32:41,042 | master_pipeline | INFO | scrape_source:1276 | ✅ Moneycontrol: Processed 'DailyHunt to give up office space in Bengaluru, lower rent b...'
2025-06-19 13:32:41,789 | master_pipeline | INFO | scrape_source:1276 | ✅ StartupNews.fyi: Processed 'Binance’s CZ Calls for ‘Will Function’ to Protect Crypto Aft...'
2025-06-19 13:32:44,114 | master_pipeline | INFO | scrape_source:1276 | ✅ StartupNews.fyi: Processed 'Hackers steal millions from Iran’s top crypto exchange...'
2025-06-19 13:32:44,733 | master_pipeline | INFO | scrape_source:1276 | ✅ Moneycontrol: Processed 'ShareChat’s chief business officer Gaurav Jain quits...'
2025-06-19 13:32:46,512 | master_pipeline | INFO | scrape_source:1276 | ✅ StartupNews.fyi: Processed 'Can you choose an AI model that harms the planet less?...'
2025-06-19 13:32:47,734 | master_pipeline | INFO | scrape_source:1290 | ✅ Moneycontrol: Completed in 18.2s - 5 articles
2025-06-19 13:32:47,735 | master_pipeline | INFO | process_all_sources:1630 | ✅ moneycontrol: 5 articles collected
2025-06-19 13:32:48,833 | master_pipeline | INFO | scrape_source:1276 | ✅ StartupNews.fyi: Processed 'Amazon India to infuse over Rs 2,000 crore to boost pan-Indi...'
2025-06-19 13:32:51,218 | master_pipeline | INFO | scrape_source:1276 | ✅ StartupNews.fyi: Processed 'OnePlus India Audit Flags Compliance & Operational Issues...'
2025-06-19 13:32:53,219 | master_pipeline | INFO | scrape_source:1290 | ✅ StartupNews.fyi: Completed in 20.3s - 7 articles
2025-06-19 13:32:53,220 | master_pipeline | INFO | process_all_sources:1630 | ✅ startupnews: 7 articles collected
2025-06-19 13:32:53,231 | master_pipeline | INFO | _log_pipeline_summary:1862 | 
============================================================
2025-06-19 13:32:53,231 | master_pipeline | INFO | _log_pipeline_summary:1863 | 📊 ENTERPRISE PIPELINE SUMMARY
2025-06-19 13:32:53,232 | master_pipeline | INFO | _log_pipeline_summary:1864 | ============================================================
2025-06-19 13:32:53,232 | master_pipeline | INFO | _log_pipeline_summary:1865 | 🎯 Total Articles: 15
2025-06-19 13:32:53,232 | master_pipeline | INFO | _log_pipeline_summary:1866 | ⏱️  Runtime: 23.7 seconds
2025-06-19 13:32:53,233 | master_pipeline | INFO | _log_pipeline_summary:1867 | 🔄 Duplicates Found: 1
2025-06-19 13:32:53,233 | master_pipeline | INFO | _log_pipeline_summary:1868 | ❌ Extraction Errors: 0
2025-06-19 13:32:53,234 | master_pipeline | INFO | _log_pipeline_summary:1869 | 🤖 AI Summaries: 0
2025-06-19 13:32:53,234 | master_pipeline | INFO | _log_pipeline_summary:1871 | 
📈 Source Breakdown:
2025-06-19 13:32:53,234 | master_pipeline | INFO | _log_pipeline_summary:1873 |    • entrackr: 1 articles
2025-06-19 13:32:53,235 | master_pipeline | INFO | _log_pipeline_summary:1873 |    • inc42: 2 articles
